Most important legitimate n_grams
651. ron - freq: 51
652. tr. - freq: 51
653. -br - freq: 50
654. .ma - freq: 50
655. ass - freq: 50
656. c%d - freq: 50
657. ce% - freq: 50
658. col - freq: 50
659. i.c - freq: 50
660. ket - freq: 50
661. la- - freq: 50
662. lac - freq: 50
663. leg - freq: 50
664. mob - freq: 50
665. n-a - freq: 50
666. n-c - freq: 50
667. ntr - freq: 50
668. nts - freq: 50
669. ode - freq: 50
670. pol - freq: 50
671. que - freq: 50
672. reg - freq: 50
673. rev - freq: 50
674. ven - freq: 50
675. ype - freq: 50
676. -le - freq: 49
677. //n - freq: 49
678. /di - freq: 49
679. 0%e - freq: 49
680. 3%b - freq: 49
681. _id - freq: 49
682. ani - freq: 49
683. era - freq: 49
684. hin - freq: 49
685. ith - freq: 49
686. lay - freq: 49
687. nic - freq: 49
688. not - freq: 49
689. tro - freq: 49
690. %ce - freq: 48
691. //e - freq: 48
692. ato - freq: 48
693. b9% - freq: 48
694. bc% - freq: 48
695. cke - freq: 48
696. el- - freq: 48
697. ene - freq: 48
698. ese - freq: 48
699. hon - freq: 48
700. me/ - freq: 48
701. off - freq: 48
702. rum - freq: 48
703. rvi - freq: 48
704. s.h - freq: 48
705. ta- - freq: 48
706. uto - freq: 48
707. %c3 - freq: 47
708. %e3 - freq: 47
709. 541 - freq: 47
710. 811 - freq: 47
711. c3% - freq: 47
712. dir - freq: 47
713. e-o - freq: 47
714. e3% - freq: 47
715. m.t - freq: 47
716. pan - freq: 47
717. ris - freq: 47
718. rta - freq: 47
719. s-m - freq: 47
720. s/p - freq: 47
721. sec - freq: 47
722. thi - freq: 47
723. typ - freq: 47
724. -ka - freq: 46
725. -yo - freq: 46
726. /ba - freq: 46
727. /wo - freq: 46
728. 8c% - freq: 46
729. a-s - freq: 46
730. ad- - freq: 46
731. ann - freq: 46
732. cel - freq: 46
733. cho - freq: 46
734. dow - freq: 46
735. ech - freq: 46
736. esi - freq: 46
737. lec - freq: 46
738. m/l - freq: 46
739. mas - freq: 46
740. mil - freq: 46
741. oll - freq: 46
742. os. - freq: 46
743. rac - freq: 46
744. rs/ - freq: 46
745. s/s - freq: 46
746. san - freq: 46
747. sha - freq: 46
748. vic - freq: 46
749. %81 - freq: 45
750. //c - freq: 45
751. //d - freq: 45
752. /lo - freq: 45
753. /te - freq: 45
754. ?re - freq: 45
755. ark - freq: 45
756. d-t - freq: 45
757. dai - freq: 45
758. ght - freq: 45
759. gov - freq: 45
760. m.c - freq: 45
761. m/h - freq: 45
762. onl - freq: 45
763. orl - freq: 45
764. orm - freq: 45
765. os- - freq: 45
766. own - freq: 45
767. rna - freq: 45
768. ry- - freq: 45
769. s-f - freq: 45
770. ssi - freq: 45
771. teg - freq: 45
772. tem - freq: 45
773. tom - freq: 45
774. ty- - freq: 45
775. %25 - freq: 44
776. -on - freq: 44
777. -ta - freq: 44
778. -vi - freq: 44
779. //b - freq: 44
780. /si - freq: 44
781. al. - freq: 44
782. eed - freq: 44
783. eti - freq: 44
784. ico - freq: 44
785. ida - freq: 44
786. ily - freq: 44
787. in/ - freq: 44
788. inf - freq: 44
789. it/ - freq: 44
790. let - freq: 44
