Most important phishing n_grams
800. n/? - freq: 52
801. nk/ - freq: 52
802. obe - freq: 52
803. oud - freq: 52
804. our - freq: 52
805. riv - freq: 52
806. s.p - freq: 52
807. tic - freq: 52
808. v.1 - freq: 52
809. .es - freq: 51
810. /fo - freq: 51
811. 20a - freq: 51
812. 242 - freq: 51
813. 32e - freq: 51
814. 654 - freq: 51
815. 6c9 - freq: 51
816. 70b - freq: 51
817. aba - freq: 51
818. adc - freq: 51
819. atr - freq: 51
820. bab - freq: 51
821. bea - freq: 51
822. e/s - freq: 51
823. gid - freq: 51
824. /ci - freq: 50
825. /em - freq: 50
826. /mo - freq: 50
827. 006 - freq: 50
828. 057 - freq: 50
829. 115 - freq: 50
830. 2d6 - freq: 50
831. 307 - freq: 50
832. 3cd - freq: 50
833. 458 - freq: 50
834. 647 - freq: 50
835. 93b - freq: 50
836. ane - freq: 50
837. e61 - freq: 50
838. ebs - freq: 50
839. ert - freq: 50
840. gre - freq: 50
841. lid - freq: 50
842. m/h - freq: 50
843. ode - freq: 50
844. ope - freq: 50
845. que - freq: 50
846. rit - freq: 50
847. s.n - freq: 50
848. st. - freq: 50
849. sti - freq: 50
850. uri - freq: 50
851. &lo - freq: 49
852. .fu - freq: 49
853. /do - freq: 49
854. /fi - freq: 49
855. 12d - freq: 49
856. 16c - freq: 49
857. 19/ - freq: 49
858. 3bd - freq: 49
859. 441 - freq: 49
860. 465 - freq: 49
861. 495 - freq: 49
862. 732 - freq: 49
863. 7ef - freq: 49
864. bil - freq: 49
865. c7a - freq: 49
866. de8 - freq: 49
867. ede - freq: 49
868. ef3 - freq: 49
869. ere - freq: 49
870. nit - freq: 49
871. rez - freq: 49
872. rgh - freq: 49
873. s/i - freq: 49
874. thr - freq: 49
875. .se - freq: 48
876. /fr - freq: 48
877. /na - freq: 48
878. /of - freq: 48
879. /pe - freq: 48
880. 089 - freq: 48
881. 156 - freq: 48
882. 1d4 - freq: 48
883. 42f - freq: 48
884. 451 - freq: 48
885. 569 - freq: 48
886. 595 - freq: 48
887. 692 - freq: 48
888. 6da - freq: 48
889. 8c5 - freq: 48
890. 96c - freq: 48
891. a27 - freq: 48
892. al/ - freq: 48
893. c75 - freq: 48
894. cb9 - freq: 48
895. cen - freq: 48
896. col - freq: 48
897. ea1 - freq: 48
898. ero - freq: 48
899. f03 - freq: 48
900. loa - freq: 48
901. ogo - freq: 48
902. onf - freq: 48
903. ros - freq: 48
904. sun - freq: 48
905. syc - freq: 48
906. x.f - freq: 48
907. .br - freq: 47
908. .sh - freq: 47
909. /a/ - freq: 47
910. 035 - freq: 47
911. 209 - freq: 47
912. 262 - freq: 47
913. 4ee - freq: 47
914. 7ad - freq: 47
915. 897 - freq: 47
916. 974 - freq: 47
917. ava - freq: 47
918. cd1 - freq: 47
919. def - freq: 47
920. er_ - freq: 47
921. fon - freq: 47
922. ho/ - freq: 47
923. lis - freq: 47
924. maz - freq: 47
925. oca - freq: 47
926. s/f - freq: 47
927. sar - freq: 47
928. .uk - freq: 46
929. .we - freq: 46
930. /.m - freq: 46
931. //1 - freq: 46
932. /js - freq: 46
933. 00c - freq: 46
934. 202 - freq: 46
935. 423 - freq: 46
936. 5a8 - freq: 46
937. 5ff - freq: 46
938. a/i - freq: 46
939. aea - freq: 46
940. ba1 - freq: 46
941. bd2 - freq: 46
942. c16 - freq: 46
943. c4f - freq: 46
944. cc/ - freq: 46
945. clo - freq: 46
946. dri - freq: 46
947. e/i - freq: 46
948. e27 - freq: 46
949. eff - freq: 46
950. ets - freq: 46
951. f62 - freq: 46
952. f6e - freq: 46
953. g.c - freq: 46
954. imp - freq: 46
955. ina - freq: 46
956. lac - freq: 46
957. nag - freq: 46
958. nki - freq: 46
959. or/ - freq: 46
960. ous - freq: 46
961. ren - freq: 46
962. sam - freq: 46
963. te- - freq: 46
964. tti - freq: 46
965. xxx - freq: 46
966. .do - freq: 45
967. /cc - freq: 45
968. /di - freq: 45
969. 038 - freq: 45
970. 0ba - freq: 45
971. 20o - freq: 45
972. 269 - freq: 45
973. 324 - freq: 45
974. 574 - freq: 45
975. 5b7 - freq: 45
976. 613 - freq: 45
977. 62e - freq: 45
978. 6a1 - freq: 45
979. 82e - freq: 45
980. 846 - freq: 45
981. a/d - freq: 45
982. act - freq: 45
983. al- - freq: 45
984. ari - freq: 45
985. bc/ - freq: 45
986. c53 - freq: 45
987. cry - freq: 45
988. del - freq: 45
989. dfr - freq: 45
990. f2b - freq: 45
991. hac - freq: 45
992. hto - freq: 45
993. n=7 - freq: 45
994. o/i - freq: 45
995. orm - freq: 45
996. ou. - freq: 45
997. rat - freq: 45
998. rro - freq: 45
999. s.h - freq: 45
1000. sba - freq: 45
1001. tas - freq: 45
1002. tem - freq: 45
1003. /it - freq: 44
1004. 096 - freq: 44
1005. 171 - freq: 44
1006. 1c0 - freq: 44
1007. 1fe - freq: 44
1008. 224 - freq: 44
1009. 284 - freq: 44
1010. 517 - freq: 44
1011. 53e - freq: 44
1012. 54e - freq: 44
1013. 566 - freq: 44
1014. 56c - freq: 44
1015. 573 - freq: 44
1016. 6ed - freq: 44
1017. 835 - freq: 44
1018. 957 - freq: 44
1019. 984 - freq: 44
1020. _lo - freq: 44
1021. af5 - freq: 44
1022. e/l - freq: 44
1023. ed. - freq: 44
1024. egi - freq: 44
1025. end - freq: 44
1026. ese - freq: 44
1027. f8a - freq: 44
1028. hey - freq: 44
1029. ida - freq: 44
1030. lim - freq: 44
1031. ned - freq: 44
1032. ngi - freq: 44
1033. oda - freq: 44
1034. odu - freq: 44
1035. pt/ - freq: 44
1036. rs. - freq: 44
1037. ve/ - freq: 44
1038. ypt - freq: 44
1039. -am - freq: 43
1040. .cl - freq: 43
1041. /m/ - freq: 43
1042. 010 - freq: 43
1043. 017 - freq: 43
1044. 044 - freq: 43
1045. 074 - freq: 43
1046. 0e5 - freq: 43
1047. 162 - freq: 43
1048. 36e - freq: 43
1049. 466 - freq: 43
1050. 46a - freq: 43
1051. 578 - freq: 43
1052. 5f6 - freq: 43
1053. 614 - freq: 43
1054. 895 - freq: 43
1055. 994 - freq: 43
1056. add - freq: 43
1057. bc7 - freq: 43
1058. bcd - freq: 43
1059. br/ - freq: 43
1060. c5b - freq: 43
1061. car - freq: 43
1062. e50 - freq: 43
1063. ead - freq: 43
1064. eec - freq: 43
1065. en- - freq: 43
1066. fed - freq: 43
1067. gra - freq: 43
1068. gua - freq: 43
1069. ish - freq: 43
1070. ls. - freq: 43
1071. m.p - freq: 43
1072. m/r - freq: 43
1073. nc. - freq: 43
1074. nd. - freq: 43
1075. pri - freq: 43
1076. r-i - freq: 43
1077. rg. - freq: 43
1078. ron - freq: 43
1079. ryp - freq: 43
1080. sht - freq: 43
1081. -lo - freq: 42
1082. .si - freq: 42
1083. 061 - freq: 42
1084. 149 - freq: 42
1085. 264 - freq: 42
1086. 375 - freq: 42
1087. 527 - freq: 42
1088. 530 - freq: 42
1089. 5cb - freq: 42
1090. 667 - freq: 42
1091. 888 - freq: 42
1092. 962 - freq: 42
1093. a/l - freq: 42
1094. a14 - freq: 42
1095. ami - freq: 42
1096. b5b - freq: 42
1097. c5d - freq: 42
1098. c7c - freq: 42
1099. cbb - freq: 42
1100. d.c - freq: 42
1101. dhl - freq: 42
1102. egr - freq: 42
1103. f44 - freq: 42
1104. nks - freq: 42
1105. rag - freq: 42
1106. rop - freq: 42
1107. ror - freq: 42
1108. sse - freq: 42
1109. ted - freq: 42
1110. urc - freq: 42
1111. %3f - freq: 41
1112. /%3 - freq: 41
1113. /.t - freq: 41
1114. /sh - freq: 41
1115. 0a6 - freq: 41
1116. 220 - freq: 41
1117. 22c - freq: 41
1118. 291 - freq: 41
1119. 2be - freq: 41
1120. 454 - freq: 41
1121. 4f3 - freq: 41
1122. 534 - freq: 41
1123. 575 - freq: 41
1124. 689 - freq: 41
1125. 6df - freq: 41
1126. 822 - freq: 41
1127. 883 - freq: 41
1128. 9d6 - freq: 41
1129. ?em - freq: 41
1130. a32 - freq: 41
1131. a8f - freq: 41
1132. agl - freq: 41
1133. ani - freq: 41
1134. bd/ - freq: 41
1135. cib - freq: 41
1136. d.h - freq: 41
1137. d59 - freq: 41
1138. doc - freq: 41
1139. dsa - freq: 41
1140. e65 - freq: 41
1141. e67 - freq: 41
1142. fas - freq: 41
1143. fcc - freq: 41
1144. hil - freq: 41
1145. ist - freq: 41
1146. l.t - freq: 41
1147. n/s - freq: 41
1148. nc/ - freq: 41
1149. nco - freq: 41
1150. ore - freq: 41
1151. rth - freq: 41
1152. uct - freq: 41
1153. ven - freq: 41
1154. -se - freq: 40
1155. -vo - freq: 40
1156. .us - freq: 40
1157. //j - freq: 40
1158. /?c - freq: 40
1159. 022 - freq: 40
1160. 098 - freq: 40
1161. 1bb - freq: 40
1162. 20b - freq: 40
1163. 314 - freq: 40
1164. 38c - freq: 40
1165. 407 - freq: 40
1166. 5.h - freq: 40
1167. 551 - freq: 40
1168. 599 - freq: 40
